"","id","Training.condition","Advert.1","Advert.2","Advert.3","Advert.4","election_reg","recall_num","recall_correct","name_correct","name_incorrect","CSC","BBA","SFI","CBB","FF","TPM","VFP","AT","useful_rank_1","useful_rank_2","useful_rank_3","useful_rank_4","useful_rank_5","useful_rank_6","useful_rank_6_TEXT","reg_know","EPE_1","EPE_2","EPE_3","EPE_4","general_confidence_1","general_confidence_2","general_confidence_3","general_confidence_4","general_confidence_5","general_confidence_6","general_confidence_7","general_confidence_8","general_confidence_9","democracy","political_interest","external_efficacy","internal_efficacy","SM_use","SM_frequency_1","partyID","age","gender","education","Ethnicity.simplified","EPE_mean","political_trust","political_mistrust","political_cynicism"
"567",582,"1","0","1","1","0",2,"1","incorrect",1,0,"0","0","0","1","0","0","0","0",2,1,4,5,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,5,2,5,6,6,6,6,6,5,4,3,2,4,5,2,4,"1/2 hour to 1 hour ","2-5 times a day","Conservative",80,"Male","GCSE level, or equivalent","White",4.5,6,5.66666666666667,3
"568",583,"1","1","0","0","1",2,"1","incorrect",0,1,"0","0","0","0","0","0","1","0",2,3,6,1,5,4,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,5,5,5,5,6,6,4,5,5,2,2,2,4,4,5,2,"1/2 hour to 1 hour ","Once a day	","Conservative",84,"Male","A-level, or equivalent","White",4.25,5.66666666666667,4.66666666666667,2
"569",584,"1","0","1","1","0",1,"Not sure","incorrect",3,0,"1","1","0","1","0","0","0","0",2,1,5,3,4,6,"Politicians","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",3,5,5,6,7,6,5,1,2,2,2,5,5,1,4,5,5,"Not sure","Never","Conservative",76,"Female","A-level, or equivalent","White",4.75,6,1.66666666666667,4
"570",585,"0","1","0","0","1",4,"2","correct",2,0,"1","0","0","1","0","0","0","0",5,6,4,1,3,2,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",6,6,5,5,4,5,2,5,5,3,3,3,5,3,4,3,4,"1/2 hour to 1 hour ","Once every couple of days	","Conservative",78,"Male","A-level, or equivalent","White",5.5,3.66666666666667,4.33333333333333,3.66666666666667
"571",586,"1","0","1","0","1",4,"1","incorrect",1,0,"1","0","0","0","0","0","0","0",1,2,3,4,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",3,3,4,4,4,3,2,2,3,4,5,5,6,2,2,2,1,"Less than 1/2 hour ","Once a day	","I do not identify with any political party",71,"Female","A-level, or equivalent","White",3.5,3,3,5.33333333333333
"572",587,"1","0","1","1","0",4,"4","incorrect",4,0,"1","1","1","1","0","0","0","0",2,3,1,6,4,5,"","Not sure",3,3,3,5,6,1,2,5,4,6,6,6,6,1,5,1,1,NA,"2-5 times a day","Reform UK",64,"Female","A-level, or equivalent","White",3.5,3,5,6
"573",588,"0","1","0","0","1",4,"2","correct",2,0,"1","0","0","1","0","0","0","0",5,1,3,2,6,4,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,3,5,5,5,3,3,6,5,5,5,6,3,4,2,3,"1/2 hour to 1 hour ","Less than once a week","Liberal Democrat",84,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.5,4.33333333333333,4.66666666666667,5.33333333333333
"574",589,"0","1","0","0","1",3,"0","incorrect",1,0,"0","0","0","1","0","0","0","0",3,5,2,4,6,1,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",2,4,4,3,3,2,2,5,3,5,6,6,6,2,4,1,2,"1/2 hour to 1 hour ","Never","Reform UK",65,"Male","A-level, or equivalent","White",3.25,2.33333333333333,4.33333333333333,6
"575",590,"0","0","1","1","0",5,"2","correct",2,0,"1","1","0","0","0","0","0","0",3,2,4,5,1,6,"","Not sure",3,3,3,4,4,3,3,2,3,3,5,4,5,2,3,2,2,"Less than 1/2 hour ","Once a day	","Labour",76,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",3.25,3.33333333333333,2.66666666666667,4.66666666666667
"576",591,"0","0","1","1","0",2,"Not sure","incorrect",1,0,"0","1","0","0","0","0","0","0",1,4,5,3,2,6,"social media regulators","Not sure",4,4,4,5,3,5,4,1,1,1,4,5,4,3,3,2,2,"None, No time at all ","Never","I do not identify with any political party",56,"Male","GCSE level, or equivalent","White",4.25,4,1,4.33333333333333
"577",592,"0","1","0","0","1",6,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",2,3,4,1,5,6,"the electorate","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,6,5,6,2,2,3,4,5,3,5,7,7,1,4,2,1,"1/2 hour to 1 hour ","2-5 times a day","Reform UK",79,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5.5,2.33333333333333,4,6.33333333333333
"578",593,"1","0","1","0","1",2,"1","incorrect",2,0,"1","1","0","0","0","0","0","0",5,1,4,3,2,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,5,5,5,3,3,2,2,3,4,6,6,6,3,3,2,1,"Less than 1/2 hour ","Never","Conservative",70,"Male","A-level, or equivalent","White",4.25,2.66666666666667,3,6
"579",594,"1","0","1","0","1",2,"2","correct",4,0,"1","1","1","1","0","0","0","0",1,2,5,4,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,6,6,6,2,2,2,6,7,7,7,7,7,1,5,2,2,"1 to 2 hours ","Never","I do not identify with any political party",57,"Male","A-level, or equivalent","White",6,2,6.66666666666667,7
"580",595,"1","0","1","1","0",4,"1","incorrect",2,0,"1","0","1","0","0","0","0","0",2,3,5,1,4,6,"","Not sure",3,5,3,5,4,5,4,3,3,4,5,5,5,3,3,2,2,"1/2 hour to 1 hour ","Once every couple of days	","Conservative",80,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,4.33333333333333,3.33333333333333,5
"581",596,"1","0","1","1","0",3,"Not sure","incorrect",2,0,"0","1","0","1","0","0","0","0",3,2,5,1,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,5,5,3,3,4,3,3,5,3,6,5,5,2,4,1,1,"Less than 1/2 hour ","Never","Conservative",84,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.75,3.33333333333333,3.66666666666667,5.33333333333333
"582",597,"0","0","1","0","1",1,"3","incorrect",3,0,"1","1","1","0","0","0","0","0",2,4,1,3,5,6,"","Not sure",5,4,5,4,5,3,1,4,3,5,7,7,7,3,4,1,2,"Less than 1/2 hour ","Never","Conservative",69,"Male","GCSE level, or equivalent","White",4.5,3,4,7
"583",598,"0","1","0","0","1",3,"2","correct",1,0,"0","0","0","1","0","0","0","0",2,4,1,3,5,6,"social media users","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",5,5,6,5,4,4,4,5,7,5,5,5,5,3,4,2,3,"1/2 hour to 1 hour ","2-5 times a day","Conservative",78,"Female","No formal qualifications","White",5.25,4,5.66666666666667,5
"584",599,"1","1","0","0","1",5,"1","incorrect",3,0,"1","1","0","1","0","0","0","0",1,4,3,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,3,3,4,4,3,4,3,5,4,5,5,3,3,3,3,"1 to 2 hours ","Less than once a week","Labour",67,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",3,3.66666666666667,4,4.66666666666667
"585",600,"0","0","1","0","1",4,"3","incorrect",1,0,"0","0","0","1","0","0","0","0",1,3,5,2,4,6,"","Not sure",7,7,6,7,1,1,1,7,7,7,7,7,7,1,4,1,1,"1/2 hour to 1 hour ","Never","Green Party",56,"Female","A-level, or equivalent","White",6.75,1,7,7
"586",601,"0","1","0","0","1",5,"Not sure","incorrect",0,0,"0","0","0","0","0","0","0","0",1,2,5,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,5,5,6,3,2,4,2,4,6,6,7,7,1,3,2,3,"Less than 1/2 hour ","2-5 times a day","Labour",35,"Female","Postgraduate (e.g. M.Sc, Ph.D)","Asian",5,3,4,6.66666666666667
"587",602,"0","1","0","0","1",6,"2","correct",2,0,"1","0","0","1","0","0","0","0",1,2,5,3,4,6,"","Not sure",5,4,5,5,6,5,5,5,5,5,4,5,4,2,4,2,2,"Less than 1/2 hour ","2-5 times a day","Conservative",78,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.75,5.33333333333333,5,4.33333333333333
"588",605,"0","1","0","1","0",6,"Not sure","incorrect",1,0,"0","0","1","0","0","0","0","0",2,4,3,1,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",6,6,5,4,1,2,2,6,6,7,6,7,7,1,5,2,2,"1/2 hour to 1 hour ","Less than once a week","Green Party",23,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5.25,1.66666666666667,6.33333333333333,6.66666666666667
"589",606,"1","1","0","1","0",3,"Not sure","incorrect",0,0,"0","0","0","0","0","0","0","0",1,2,4,3,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,4,3,2,1,3,2,3,5,7,2,7,7,1,4,1,2,"1/2 hour to 1 hour ","More than five times a day	","Plaid Cymru",52,"Non-binary / third gender","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3,2,5,5.33333333333333
"590",607,"1","1","0","1","0",2,"3","incorrect",1,0,"1","0","0","0","0","0","0","0",3,4,2,1,5,6,"The media","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",6,6,4,5,4,5,4,3,4,3,5,5,5,2,4,1,2,"1/2 hour to 1 hour ","Never","Conservative",80,"Male","A-level, or equivalent","White",5.25,4.33333333333333,3.33333333333333,5
"591",608,"1","0","1","1","0",5,"2","correct",2,0,"0","1","0","1","0","0","0","0",1,5,3,2,4,6,"","Not sure",5,5,5,5,2,2,2,3,4,5,6,6,6,1,3,1,2,"1/2 hour to 1 hour ","Never","Labour",25,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,2,4,6
"592",609,"0","0","1","0","1",1,"3","incorrect",2,0,"0","0","1","1","0","0","0","0",1,4,5,3,2,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,5,5,5,2,2,2,2,2,5,5,6,6,2,3,2,1,"1/2 hour to 1 hour ","Never","Conservative",77,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.5,2,3,5.66666666666667
"593",610,"0","0","1","1","0",4,"2","correct",2,0,"1","0","0","1","0","0","0","0",5,1,3,2,4,6,"","Not sure",4,5,4,5,4,4,4,5,5,3,5,5,7,2,4,3,2,"1 to 2 hours ","2-5 times a day","Liberal Democrat",77,"Male","Other, please specify","White",4.5,4,4.33333333333333,5.66666666666667
"594",611,"0","0","1","0","1",6,"2","correct",1,0,"0","0","0","1","0","0","0","0",2,3,4,1,5,6,"","Not sure",5,5,5,6,1,3,1,6,7,7,7,6,7,2,5,2,1,"1 to 2 hours ","Never","Reform UK",73,"Female","Other, please specify","White",5.25,1.66666666666667,6.66666666666667,6.66666666666667
"595",612,"1","1","0","0","1",1,"Not sure","incorrect",4,0,"1","1","1","1","0","0","0","0",1,2,5,4,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,2,2,1,1,1,5,5,5,7,1,7,1,4,1,3,"1 to 2 hours ","Never","Labour",47,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.5,1,5,5
"596",613,"1","0","1","0","1",2,"2","correct",2,0,"1","1","0","0","0","0","0","0",1,5,3,2,4,6,"","Not sure",2,4,2,4,2,2,2,2,2,2,5,6,6,2,1,2,2,"Less than 1/2 hour ","Once a day	","Labour",62,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3,2,2,5.66666666666667
"597",614,"1","1","0","1","0",2,"Not sure","incorrect",0,0,"0","0","0","0","0","0","0","0",2,1,4,3,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,5,3,2,2,2,2,2,2,6,6,6,2,2,1,2,"1/2 hour to 1 hour ","2-5 times a day","Labour",45,"Male","A-level, or equivalent","White",3.5,2,2,6
"598",615,"1","0","1","1","0",2,"3","incorrect",3,0,"1","1","1","0","0","0","0","0",3,6,1,4,2,5,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",5,5,5,5,2,2,3,5,5,5,6,6,7,1,5,1,2,"1 to 2 hours ","Once every couple of days	","Green Party",39,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,2.33333333333333,5,6.33333333333333
"599",616,"0","0","1","1","0",3,"2","correct",1,0,"1","0","0","0","0","0","0","0",1,3,4,5,2,6,"the people","Not sure",6,5,6,6,4,4,4,5,6,5,6,6,5,1,4,2,5,"1/2 hour to 1 hour ","Never","Labour",68,"Male","No formal qualifications","White",5.75,4,5.33333333333333,5.66666666666667
"600",617,"0","0","1","1","0",3,"0","incorrect",2,0,"1","0","0","1","0","0","0","0",1,2,4,3,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",2,6,6,5,5,4,2,1,3,5,5,5,7,1,3,3,3,"Less than 1/2 hour ","Never","Green Party",30,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",4.75,3.66666666666667,3,5.66666666666667
"601",618,"1","0","1","1","0",2,"2","correct",2,0,"0","1","0","1","0","0","0","0",4,2,5,3,1,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,5,5,5,4,5,5,4,5,6,3,5,5,3,4,2,2,"Less than 1/2 hour ","2-5 times a day","Conservative",69,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5.25,4.66666666666667,5,4.33333333333333
"602",619,"1","1","0","1","0",4,"2","correct",4,0,"1","1","1","1","0","0","0","0",6,5,4,2,3,1,"Activists and protestors, so they know where to target protests and harrassment campaigns","Not sure",2,3,3,4,2,1,2,4,2,5,6,6,6,2,2,1,1,"Not sure","Never","I do not identify with any political party",37,"Female","GCSE level, or equivalent","White",3,1.66666666666667,3.66666666666667,6
"603",620,"1","1","0","0","1",2,"2","correct",2,0,"0","1","1","0","0","0","0","0",1,2,5,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,2,5,5,2,1,1,1,1,1,6,7,7,2,2,2,2,"Less than 1/2 hour ","Once a day	","Green Party",27,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.5,1.33333333333333,1,6.66666666666667
"604",621,"1","0","1","1","0",1,"Not sure","incorrect",2,0,"0","1","0","1","0","0","0","0",4,2,3,1,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,4,4,6,2,1,1,4,1,6,7,7,7,2,3,1,1,"1/2 hour to 1 hour ","Once a day	","United Kingdom Independence Party (UKIP)",51,"Female","A-level, or equivalent","White",4.5,1.33333333333333,3.66666666666667,7
"605",622,"0","0","1","0","1",2,"2","correct",4,0,"1","1","1","1","0","0","0","0",3,4,2,1,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,6,6,6,2,2,2,5,5,5,6,7,6,1,4,2,2,"1/2 hour to 1 hour ","Once a day	","Scottish National Party (SNP)",47,"Male","A-level, or equivalent","White",6,2,5,6.33333333333333
"606",623,"0","0","1","0","1",2,"Not sure","incorrect",3,0,"1","1","0","1","0","0","0","0",1,2,4,5,3,6,"","Not sure",2,5,5,5,3,1,3,2,4,3,6,6,7,2,3,2,2,"Less than 1/2 hour ","2-5 times a day","Labour",21,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.25,2.33333333333333,3,6.33333333333333
"607",624,"1","1","0","0","1",3,"Not sure","incorrect",2,0,"1","0","0","1","0","0","0","0",1,3,5,4,2,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",5,3,6,3,4,5,6,5,6,6,7,6,5,4,3,3,3,"1 to 2 hours ","Less than once a week","Conservative",66,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",4.25,5,5.66666666666667,6
"608",625,"0","0","1","0","1",1,"2","correct",2,0,"0","0","1","1","0","0","0","0",1,4,3,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,3,2,3,2,2,2,2,2,4,6,7,6,3,3,2,2,"Less than 1/2 hour ","More than five times a day	","United Kingdom Independence Party (UKIP)",49,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2.5,2,2.66666666666667,6.33333333333333
"609",626,"1","0","1","0","1",5,"2","correct",2,0,"0","1","0","1","0","0","0","0",4,1,5,2,3,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",2,2,3,5,3,5,3,1,1,1,5,5,5,2,2,2,1,NA,"2-5 times a day","Labour",36,"Female","A-level, or equivalent","White",3,3.66666666666667,1,5
"610",627,"1","1","0","0","1",3,"Not sure","incorrect",1,0,"0","0","0","1","0","0","0","0",2,3,4,1,5,6,"","There are no regulatory controls on any type of political advertising during UK elections",5,5,5,6,3,3,5,5,3,6,5,6,6,2,3,3,3,"1 to 2 hours ","2-5 times a day","Labour",26,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",5.25,3.66666666666667,4.66666666666667,5.66666666666667
"611",628,"0","1","0","0","1",4,"1","incorrect",1,0,"0","0","0","1","0","0","0","0",4,2,5,1,3,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",2,4,2,5,3,3,4,2,5,4,6,6,6,2,4,3,3,"Less than 1/2 hour ","Once a day	","I do not identify with any political party",52,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.25,3.33333333333333,3.66666666666667,6
"612",629,"1","1","0","0","1",6,"2","correct",1,0,"0","0","0","1","0","0","0","0",1,2,5,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,5,4,3,4,3,2,4,5,5,6,4,2,3,2,1,"None, No time at all ","More than five times a day	","Labour",55,"Male","A-level, or equivalent","White",4.75,3.33333333333333,3.66666666666667,5
"613",630,"0","1","0","0","1",1,"2","correct",2,0,"0","0","1","1","0","0","0","0",1,3,4,2,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",6,6,5,6,3,4,3,6,5,6,5,6,6,1,5,1,2,"1/2 hour to 1 hour ","Never","Sinn Féin",61,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",5.75,3.33333333333333,5.66666666666667,5.66666666666667
"614",631,"1","0","1","1","0",1,"2","correct",4,0,"1","1","1","1","0","0","0","0",1,2,4,3,5,6,"","Not sure",3,5,5,5,2,1,1,2,3,3,5,7,6,2,3,1,1,"Less than 1/2 hour ","Never","Labour",46,"Male","A-level, or equivalent","White",4.5,1.33333333333333,2.66666666666667,6
"615",632,"1","0","1","1","0",1,"2","correct",2,0,"1","1","0","0","0","0","0","0",3,4,2,1,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,6,6,7,3,2,3,7,6,6,5,4,5,1,5,2,3,NA,"Less than once a week","Labour",40,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",6.25,2.66666666666667,6.33333333333333,4.66666666666667
"616",633,"0","1","0","1","0",1,"0","incorrect",1,0,"0","0","0","1","0","0","0","0",1,5,3,2,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,6,6,6,6,2,3,4,4,4,6,6,5,1,3,2,3,"Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",44,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",6,3.66666666666667,4,5.66666666666667
"617",634,"1","1","0","0","1",2,"2","correct",3,0,"1","1","0","1","0","0","0","0",2,4,3,1,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,5,6,6,3,5,6,5,5,5,4,2,5,3,4,2,2,"1/2 hour to 1 hour ","2-5 times a day","Conservative",49,"Male","Postgraduate (e.g. M.Sc, Ph.D)","Other",5.75,4.66666666666667,5,3.66666666666667
"618",635,"1","1","0","0","1",1,"2","correct",2,0,"0","1","0","1","0","0","0","0",1,3,5,2,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,5,6,5,2,1,1,1,6,6,6,7,7,2,4,2,2,"Less than 1/2 hour ","2-5 times a day","Labour",42,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.5,1.33333333333333,4.33333333333333,6.66666666666667
"619",636,"1","1","0","1","0",1,"4","incorrect",4,0,"1","1","1","1","0","0","0","0",1,2,5,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",1,1,1,1,2,3,1,3,1,1,7,7,6,2,4,1,1,"1/2 hour to 1 hour ","Less than once a week","Liberal Democrat",58,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",1,2,1.66666666666667,6.66666666666667
"620",637,"0","0","1","1","0",4,"Not sure","incorrect",1,0,"1","0","0","0","0","0","0","0",2,3,1,5,4,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",5,5,5,5,4,5,5,3,3,3,4,4,4,3,2,3,2,"Less than 1/2 hour ","Once a day	","Scottish National Party (SNP)",56,"Female","A-level, or equivalent","White",5,4.66666666666667,3,4
"621",638,"0","1","0","0","1",2,"4","incorrect",4,0,"1","1","1","1","0","0","0","0",3,4,2,1,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",1,2,2,2,1,1,1,1,1,4,7,7,7,2,1,1,1,"1 to 2 hours ","2-5 times a day","I do not identify with any political party",41,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",1.75,1,2,7
"622",639,"0","1","0","1","0",2,"Not sure","incorrect",3,0,"1","0","1","1","0","0","0","0",1,4,5,3,2,6,"","Not sure",2,3,2,3,2,3,2,2,4,3,6,6,6,2,2,1,1,"None, No time at all ","2-5 times a day","I do not identify with any political party",36,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",2.5,2.33333333333333,3,6
"623",640,"0","1","0","1","0",6,"3","incorrect",4,0,"1","1","1","1","0","0","0","0",5,2,1,4,3,6,"No one","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,6,6,5,6,4,3,6,6,5,6,4,6,2,4,2,3,"Less than 1/2 hour ","Once a day	","I do not identify with any political party",79,"Male","A-level, or equivalent","White",5.75,4.33333333333333,5.66666666666667,5.33333333333333
"624",641,"0","1","0","0","1",6,"Not sure","incorrect",0,1,"0","0","0","0","0","0","1","0",1,3,5,4,2,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",7,7,7,7,1,1,1,7,7,7,7,7,7,1,5,1,1,"1/2 hour to 1 hour ","2-5 times a day","Reform UK",48,"Male","GCSE level, or equivalent","White",7,1,7,7
"625",642,"0","1","0","0","1",3,"2","correct",1,0,"1","0","0","0","0","0","0","0",1,2,5,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,2,3,3,1,1,1,2,3,7,7,6,7,2,4,1,1,"1/2 hour to 1 hour ","Never","Labour",47,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.5,1,4,6.66666666666667
"626",643,"0","1","0","0","1",4,"Not sure","incorrect",2,0,"0","0","1","1","0","0","0","0",3,2,4,1,5,6,"","Not sure",2,4,3,5,1,2,2,2,2,2,7,7,7,2,2,1,1,"Less than 1/2 hour ","Never","Labour",45,"Female","GCSE level, or equivalent","White",3.5,1.66666666666667,2,7
"627",644,"0","0","1","0","1",7,"Not sure","incorrect",1,0,"0","0","0","1","0","0","0","0",4,6,1,2,5,3,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",5,5,7,5,7,6,5,6,5,5,4,6,7,3,5,4,4,NA,"More than five times a day	","Conservative",38,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",5.5,6,5.33333333333333,5.66666666666667
"628",645,"1","1","0","0","1",5,"Not sure","incorrect",1,0,"0","0","0","1","0","0","0","0",1,3,2,5,4,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,5,4,5,4,4,3,4,4,4,4,4,4,1,4,1,2,NA,"Once a day	","Labour",28,"Female","Postgraduate (e.g. M.Sc, Ph.D)","Mixed",4.5,3.66666666666667,4,4
"629",646,"1","0","1","0","1",2,"Not sure","incorrect",2,0,"1","0","0","1","0","0","0","0",4,1,3,2,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",6,7,7,6,5,6,6,1,2,3,3,5,5,2,5,4,2,"None, No time at all ","2-5 times a day","Conservative",78,"Male","A-level, or equivalent","White",6.5,5.66666666666667,2,4.33333333333333
"630",647,"1","0","1","1","0",2,"1","incorrect",3,0,"1","0","1","1","0","0","0","0",2,4,3,1,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",1,5,5,3,2,2,2,2,4,5,7,7,6,2,2,2,2,"None, No time at all ","Once a day	","Other, please specify___________",55,"Female","Postgraduate (e.g. M.Sc, Ph.D)","Mixed",3.5,2,3.66666666666667,6.66666666666667
"631",648,"1","0","1","1","0",5,"2","correct",3,0,"1","1","1","0","0","0","0","0",1,2,4,3,5,6,"","Not sure",6,6,6,6,1,1,2,5,3,5,7,7,7,2,3,1,2,"Less than 1/2 hour ","2-5 times a day","Labour",38,"Male","A-level, or equivalent","White",6,1.33333333333333,4.33333333333333,7
"632",649,"1","1","0","1","0",3,"1","incorrect",3,0,"1","1","1","0","0","0","0","0",4,1,3,2,5,6,"?","Not sure",3,3,4,4,3,4,4,3,4,4,5,4,5,2,4,3,2,"None, No time at all ","2-5 times a day","I do not identify with any political party",77,"Male","A-level, or equivalent","White",3.5,3.66666666666667,3.66666666666667,4.66666666666667
"633",650,"0","1","0","1","0",3,"3","incorrect",2,0,"1","1","0","0","0","0","0","0",1,4,5,2,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,5,5,5,2,1,2,4,4,5,6,6,4,2,3,1,2,"Less than 1/2 hour ","Once a day	","I do not identify with any political party",30,"Male","A-level, or equivalent","White",4.75,1.66666666666667,4.33333333333333,5.33333333333333
